"","icon","num","usage"
"1","clear-day",73,11076
"2","cloudy",21,9403
"3","fog",15,8212
"4","partly-cloudy-day",321,11024
"5","partly-cloudy-night",94,10126
"6","rain",111,7729
"7","snow",1,1298
